"id","region_id:id"
base.state_it_ag,sic
base.state_it_al,pie
base.state_it_an,mar
base.state_it_ao,vda
base.state_it_ap,mar
base.state_it_aq,abr
base.state_it_ar,tos
base.state_it_at,pie
base.state_it_av,cam
base.state_it_ba,pug
base.state_it_bg,lom
base.state_it_bi,pie
base.state_it_bl,ven
base.state_it_bn,cam
base.state_it_bo,emr
base.state_it_br,pug
base.state_it_bs,lom
base.state_it_bt,pug
base.state_it_bz,taa
base.state_it_ca,sar
base.state_it_cb,mol
base.state_it_ce,cam
base.state_it_ch,abr
base.state_it_ci,sar
base.state_it_cl,sic
base.state_it_cn,pie
base.state_it_co,lom
base.state_it_cr,lom
base.state_it_cs,cal
base.state_it_ct,sic
base.state_it_cz,cal
base.state_it_en,sic
base.state_it_fc,emr
base.state_it_fe,emr
base.state_it_fg,pug
base.state_it_fi,tos
base.state_it_fm,mar
base.state_it_fr,laz
base.state_it_ge,lig
base.state_it_go,fvg
base.state_it_gr,tos
base.state_it_im,lig
base.state_it_is,mol
base.state_it_kr,cal
base.state_it_lc,lom
base.state_it_le,pug
base.state_it_li,tos
base.state_it_lo,lom
base.state_it_lt,laz
base.state_it_lu,tos
base.state_it_mb,lom
base.state_it_mc,mar
base.state_it_me,sic
base.state_it_mi,lom
base.state_it_mn,lom
base.state_it_mo,emr
base.state_it_ms,tos
base.state_it_mt,bas
base.state_it_na,cam
base.state_it_no,pie
base.state_it_nu,sar
base.state_it_og,sar
base.state_it_or,sar
base.state_it_ot,sar
base.state_it_pa,sic
base.state_it_pc,emr
base.state_it_pd,ven
base.state_it_pe,abr
base.state_it_pg,umb
base.state_it_pi,tos
base.state_it_pn,fvg
base.state_it_po,tos
base.state_it_pr,emr
base.state_it_pt,tos
base.state_it_pu,mar
base.state_it_pv,lom
base.state_it_pz,bas
base.state_it_ra,emr
base.state_it_rc,cal
base.state_it_re,emr
base.state_it_rg,sic
base.state_it_ri,laz
base.state_it_rm,laz
base.state_it_rn,emr
base.state_it_ro,ven
base.state_it_sa,cam
base.state_it_si,tos
base.state_it_so,lom
base.state_it_sp,lig
base.state_it_sr,sic
base.state_it_ss,sar
base.state_it_sv,lig
base.state_it_ta,pug
base.state_it_te,abr
base.state_it_tn,taa
base.state_it_to,pie
base.state_it_tp,sic
base.state_it_tr,umb
base.state_it_ts,fvg
base.state_it_tv,ven
base.state_it_ud,fvg
base.state_it_va,lom
base.state_it_vb,pie
base.state_it_vc,pie
base.state_it_ve,ven
base.state_it_vi,ven
base.state_it_vr,ven
base.state_it_vs,sar
base.state_it_vt,laz
base.state_it_vv,cal
